Freq [GHz]	Vout [V]
7.79E+00	-2.80E-01
7.80E+00	-2.80E-01
7.81E+00	-2.84E-01
7.82E+00	-2.88E-01
7.83E+00	-2.92E-01
7.84E+00	-3.00E-01
7.85E+00	-3.20E-01
7.86E+00	-3.60E-01
7.87E+00	-4.40E-01
7.88E+00	-6.44E-01
7.89E+00	-1.05E+00
7.90E+00	-1.90E+00
7.91E+00	-2.79E+00
7.92E+00	-3.22E+00
7.93E+00	-3.38E+00
7.94E+00	-3.51E+00
7.95E+00	-3.63E+00
7.96E+00	-3.71E+00
7.97E+00	-3.74E+00
7.98E+00	-3.74E+00
7.99E+00	-3.81E+00
8.00E+00	-3.96E+00
8.00E+00	-3.85E+00
8.01E+00	-3.99E+00
8.02E+00	-4.20E+00
8.03E+00	-4.35E+00
8.04E+00	-4.48E+00
8.05E+00	-4.55E+00
8.06E+00	-4.55E+00
8.07E+00	-4.68E+00
8.08E+00	-4.90E+00
8.09E+00	-4.90E+00
8.10E+00	-3.93E+00
8.11E+00	-2.38E+00
8.12E+00	-1.29E+00
8.13E+00	-7.88E-01
8.14E+00	-5.48E-01
8.15E+00	-4.16E-01
8.16E+00	-3.52E-01
8.17E+00	-3.20E-01
8.18E+00	-3.00E-01
8.19E+00	-2.92E-01
8.20E+00	-2.84E-01
8.21E+00	-2.84E-01
8.22E+00	-2.80E-01
