Freq [GHz]	Vout [V]
11.61	-1.60E-02
11.62	-1.80E-02
11.63	-1.80E-02
11.64	-1.80E-02
11.65	-1.80E-02
11.66	-1.80E-02
11.67	-2.00E-02
11.68	-2.00E-02
11.69	-2.20E-02
11.70	-2.40E-02
11.71	-2.60E-02
11.72	-2.80E-02
11.73	-3.20E-02
11.74	-3.80E-02
11.75	-5.00E-02
11.76	-6.20E-02
11.77	-8.00E-02
11.78	-1.00E-01
11.79	-1.36E-01
11.80	-2.12E-01
11.81	-2.44E-01
11.82	-3.28E-01
11.83	-4.44E-01
11.84	-5.76E-01
11.85	-7.60E-01
11.86	-9.84E-01
11.87	-1.21E+00
11.88	-1.54E+00
11.90	-1.91E+00
11.91	-2.74E+00
11.92	-3.18E+00
11.93	-3.52E+00
11.94	-3.79E+00
11.95	-3.95E+00
11.96	-4.01E+00
11.97	-3.98E+00
11.98	-3.90E+00
11.99	-3.79E+00
12.00	-3.67E+00
12.00	-3.70E+00
12.01	-3.61E+00
12.02	-3.52E+00
12.03	-3.42E+00
12.04	-3.31E+00
12.05	-3.06E+00
12.06	-2.93E+00
12.07	-2.67E+00
12.08	-2.34E+00
12.09	-1.99E+00
12.10	-1.50E+00
12.11	-1.19E+00
12.12	-1.11E+00
12.13	-1.05E+00
12.14	-8.36E-01
12.15	-6.72E-01
12.16	-5.32E-01
12.17	-4.24E-01
12.18	-3.36E-01
12.19	-2.68E-01
12.20	-2.14E-01
12.21	-1.72E-01
12.22	-1.38E-01
12.23	-1.10E-01
12.24	-9.00E-02
12.25	-7.40E-02
12.26	-6.00E-02
12.27	-5.00E-02
12.28	-4.20E-02
12.29	-3.60E-02
12.30	-3.20E-02
12.31	-2.80E-02
12.32	-2.60E-02
12.33	-2.40E-02
12.34	-2.20E-02
12.35	-2.00E-02
12.36	-2.00E-02
12.37	-1.80E-02
12.38	-1.80E-02
12.39	-1.80E-02
12.40	-1.60E-02
